世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
208,卡塔尔大学,卡塔尔,42.6,24.4,33.2,36.9,61.1
210,金边大学,巴西,42.5,68.7,32.7,43.2,11.6
210,布鲁塞尔自由大学,比利时,42.5,34.3,50.4,67.8,4.1
212,同济大学,中国大陆,42.4,33.2,10,87.5,26.6
212,特温特大学,荷兰,42.4,20.2,36.3,67.9,37
214,阿姆斯特丹自由大学,荷兰,42.3,39.7,12.6,70,30
215,马德里自治大学,西班牙,42.2,59,55.5,20.8,37.3
215,乔治奥古斯特哥廷根大学,德国,42.2,49.3,21.5,18.7,64.1
217,哈尔滨工业大学,中国大陆,42,26.6,8.9,96.5,50.5
217,奥塔哥大学,新西兰,42,47.1,34.3,51.4,12.5
219,亚利桑那州立大学,美国,41.8,46.7,40.2,59.9,8.2
220,洛斯安第斯哥伦比亚大学,哥伦比亚,41.6,62.9,95,6.1,19.5
220,阿伯丁大学,英国,41.6,28.3,36,50.6,33.5
222,昆士兰科技大学,澳大利亚,41.5,39.5,40,65.1,7.7
222,希伯来大学,以色列,41.5,34.8,23.8,28.7,78.8
224,朱拉隆功大学,泰国,41.4,65.1,63.8,6.2,34.6
224,国立成功大学,中国台湾,41.4,47.2,71.9,22.2,40.7
226,马德里康普顿斯大学,西班牙,41.2,69.2,57.4,10.2,22.3
226,南方科技大学,中国大陆,41.2,7.8,1.7,80.9,97.7
228,汉堡大学,德国,40.7,50.8,19.8,58.9,16
229,雷丁大学,英国,40.4,33.2,29.1,55,20.9
230,鲍曼莫斯科国立技术大学,俄罗斯,40.3,27.2,50.2,1.4,100
231,加札马达大学,印度尼西亚,40.2,49.1,55.1,1.6,62.3
232,雷德布德大学奈梅亨,荷兰,40,29.9,13.5,82.4,27.6
233,贝尔法斯特女王大学,英国,39.9,31.7,27.6,37.3,34.5
233,庞培法布拉大学,西班牙,39.9,30.8,26.2,91.5,9.9
235,万隆理工学院,印度尼西亚,39.5,43.7,54.3,2.3,62.2
235,加州大学欧文分校,美国,39.5,39.7,18.4,59.9,12.9
237,沙特国王大学,沙特阿拉伯,39.4,34.5,13.1,29.3,60.8
237,开普敦大学,南非,39.4,43.6,50.7,44.6,15.7
237,渥太华大学,加拿大,39.4,25.9,38.8,80.3,4.4
240,提契诺大学,瑞士,39.2,5.3,4.6,47.2,85
240,苏塞克斯大学,英国,39.2,23.9,6.8,80.5,16.2
242,卡尔加里大学,加拿大,39,36.1,50.5,41.9,21.2
243,哥伦比亚国立大学,哥伦比亚,38.9,67.5,93.4,3.6,6.1
243,圣母大学,美国,38.9,26.6,44.2,47.3,61.5
243,帕多瓦大学,意大利,38.9,56.2,30.4,51.9,9.3
246,女王大学,加拿大,38.8,38.6,69,49.6,6.1
246,耶什华大学,美国,38.8,2.6,3.7,98.5,85.5
248,印度尼西亚大学,印度尼西亚,38.7,47.5,62.4,1.9,44.9
248,巴黎大学,法国,38.7,34.7,6.8,91.5,11.9
250,印度理工学院马德拉斯分校,印度,38.6,38,58.3,58.3,27.6
251,布鲁塞尔大学,比利时,38.5,22.7,16.1,23.8,76.2
252,贝鲁特美国大学,黎巴嫩,38.4,27.2,40.7,20,62.1
253,马萨诸塞大学，阿默斯特,美国,38.3,40.7,16.8,65.3,13.7
253,纳瓦拉大学,西班牙,38.3,29.4,66.4,15.1,59.7
253,弗吉尼亚大学,美国,38.3,35.2,37.5,36.5,60.7
256,拉夫堡大学,英国,38.1,29.9,65.9,37.7,22.2
256,玛希隆大学,泰国,38.1,40.5,42.7,5.2,79.3
256,文莱达鲁萨兰国大学,文莱,38.1,19.1,9.8,8.5,96.5
259,巴黎政治学院,法国,38,18.7,31.9,3.3,93.6
260,新西伯利亚州立大学,俄罗斯,37.9,27.3,15.9,15.7,94
260,特拉维夫大学,以色列,37.9,32.7,19.2,99.7,4.2
262,北京师范大学,中国大陆,37.8,36.3,6.4,76.4,27.7
262,亚利桑那大学,美国,37.8,39.6,22.4,21.5,67.6
264,印度理工学院坎普尔分校,印度,37.6,32.6,49.3,79,17.4
264,托木斯克州立大学,俄罗斯,37.6,22.9,11.2,6.3,99.6
266,迪肯大学,澳大利亚,37.5,27.6,30.7,66.8,4.7
267,物理莫斯科与技术研究所州立大学,俄罗斯,37.3,19.7,22.5,16,97.9
267,罗格斯大学 - 新泽西州立大学新不伦瑞克分校,美国,37.3,37.6,35.6,26.3,51.3
267,中山大学,中国大陆,37.3,34.4,32.5,46,52.6
270,印度理工学院克勒格布尔分校,印度,37.2,30.2,48.3,86.4,13
270,庆熙大学,韩国,37.2,24.9,39,13.3,85.7
270,爱尔兰国立高威大学,爱尔兰,37.2,26.4,31.6,13.5,70.7
270,圣彼得堡国立大学,俄罗斯,37.2,41.8,28.8,6.1,68.5
274,波尔图大学,葡萄牙,37.1,40.7,23.8,71.4,12.8
275,达姆施塔特技术大学,德国,36.9,20.8,38.8,81.4,6.1
275,惠灵顿维多利亚大学,新西兰,36.9,44.8,30.1,30.9,10.5
277,国立欧亚大学,哈萨克斯坦,36.8,25.1,37.8,1.4,98.8
278,马斯特里赫特大学,荷兰,36.7,21.8,22.1,63.1,14.9
279,莱斯特大学,英国,36.6,22.2,14.9,42.7,44.6
280,安特卫普大学,比利时,36.5,22.7,12.6,44.8,55.2
281,乔治城大学,美国,36.3,31.2,44.6,27.3,55.4
281,赫里瓦特大学,英国,36.3,14.9,29.6,65.8,21.3
281,香港浸会大学,中国香港,36.3,17,12.8,39.6,50.9
284,格拉茨大学,奥地利,36.1,13.5,7.6,15.7,99.1
284,泰莱大学,马来西亚,36.1,21.5,80,6.6,55.1
284,UCSI大学,马来西亚,36.1,20.5,54.9,2.8,67.1
284,华沙大学,波兰,36.1,48.9,63.3,7.1,38.4
284,坎特伯雷大学,新西兰,36.2,38.9,39.6,33.2,11.3
288,白俄罗斯州立大学,白俄罗斯,36,24.2,39.7,1.3,96.8
288,布拉格查理大学,捷克共和国,36,45.3,34.9,10.7,41.3
288,光州科技学院,韩国,36,14.5,6.6,100,39.2
291,图尔库大学,芬兰,35.8,28.8,32.1,36.3,60.3
292,梅西大学,新西兰,35.7,29.3,19.1,22.6,37.4
293,雅盖隆大学,波兰,35.6,38,55.1,6.6,62.6
293,斯马尼亚大学,澳大利亚,35.6,16.5,7.5,85.4,14.5
295,俄罗斯人民友谊大学,俄罗斯,35.5,19.7,33.9,1.8,92.7
296,斯温本科技大学,澳大利亚,35.4,13,16.4,87,12.2
296,阿联酋大学,阿拉伯联合酋长国,35.4,26.3,36.6,11.5,59.4
296,迈阿密大学,美国,35.4,22.7,32.1,20.8,70.8
296,塔尔图大学,爱沙尼亚,35.4,25.8,10.7,14.3,88.9
300,格里菲斯大学,澳大利亚,35.2,26.1,16.6,71.7,7.6
300,巴黎第一大学,法国,35.2,64,35.7,3.4,4.7
302,西安交通大学,中国大陆,35.1,21.8,50.7,80.7,22.2
303,考克大学,爱尔兰,35,29,38.1,25.9,36.7
304,澳门大学,中国澳门,34.9,9.5,9.8,84,16.4
305,萨里大学,英国,34.7,20.4,28.1,49.6,21.5
306,华中科技大学,中国大陆,34.6,21.3,40.2,96,10.5
307,天津大学,中国大陆,34.4,18.3,4.3,92,31.2
308,戴尔豪斯大学,加拿大,34.3,18.5,21.2,63.8,14.2
308,俄罗斯国家研究型高等经济大学,俄罗斯,34.3,26.9,32.6,1.9,92.6
308,国立核研究院,俄罗斯,34.3,9.2,11.3,11.8,99.2
308,因斯布鲁克大学,奥地利,34.3,19.8,5.3,12.8,65.7
312,北卡罗来纳州立大学,美国,34.1,29.2,23,68.3,11.3
312,塔夫茨大学,美国,34.1,18.3,7.2,48.2,65.7
312,筑波大学,日本,34.1,33.9,17.5,19.2,63.5
316,乐卓博大学,澳大利亚,33.9,20.8,20.9,61.9,6.4
317,科罗拉多大学博尔德分校,美国,33.8,37,13.5,36.8,41.8
317,伊利诺伊大学芝加哥分校,美国,33.8,42,31.9,26.4,35.6
317,格勒诺布尔阿尔卑斯大学,法国,33.8,43.3,12.5,51.1,8.3
320,林雪平大学,瑞典,33.7,19.8,25.6,55,32.5
320,马德里大学卡洛斯三世大学,西班牙,33.7,31,48.4,5.3,57.1
322,喀山联邦大学,俄罗斯,33.4,20.8,7.6,3.2,91.4
323,阿根廷天主教大学,阿根廷,33.3,20.4,43.3,1.1,99.8
324,米兰大学,意大利,33.2,49.8,15,48.5,5.4
325,都灵理工大学,意大利,33.1,36.6,47.3,54,2.5
325,斯特拉斯克莱德大学,英国,33.1,25.9,41.8,33.4,18.8
327,中国台湾科技大学,中国台湾,33,25.6,37.6,25.1,52.6
328,法兰克福大学,德国,32.9,45.4,28.6,15.6,26.4
328,西蒙弗雷泽大学,加拿大,32.9,24.9,21.2,52.5,5.4
330,奥尔堡大学,丹麦,32.5,19.8,28.1,47.8,34.2
331,怀卡托大学,新西兰,32.3,18.4,13,58.2,12
332,中国台湾师范大学,中国台湾,32.2,32.7,18.6,6.3,68.3
333,里约热内卢联邦大学,巴西,32.1,58.1,25.3,8.9,19.3
334,国立科技大学伊斯兰堡,巴基斯坦,32,18.2,67.7,9.6,77
335,科隆大学,德国,31.9,36.7,31,25.6,24.8
335,里斯本大学,葡萄牙,31.9,42.5,20.5,38.2,12.3
335,乌拉尔联邦大学,俄罗斯,31.9,21.6,14,2.1,96.1
338,广岛大学,日本,31.8,22.4,13,10.3,87.2
339,印第安纳大学伯明顿分校,美国,31.7,36.6,26.3,29.4,28.4
340,埃尔朗根-纽伦堡大学,德国,31.6,23.3,13.1,85.8,2.6
