世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
428,北京科技大学,中国大陆,27.1,13.1,3.4,93.2,11.8
428,威特沃特斯兰德大学,南非,27.1,25.1,38.9,30.5,12.3
432,奥斯特拉尔大学,阿根廷,27,17.5,32.7,1.8,77.9
433,拉瓦尔大学,加拿大,26.9,20,17.8,27.6,32
434,远东联邦大学,俄罗斯,26.8,8.4,3.4,1.9,93.2
434,斯特拉斯堡大学,法国,26.8,40.7,6.8,24.9,5.1
436,国立台北理工大学,中国台湾,26.6,15.2,58.2,32.2,28.9
436,维多利亚大学圣拉斐尔大学,意大利,26.6,3,1.4,22.7,99.7
438,牛津布鲁克斯大学,英国,26.5,27,41.4,9.2,13
438,科英布拉大学,葡萄牙,26.5,30.1,13.8,38.6,14.5
438,维克森林大学,美国,26.5,5.4,7.3,12.6,100
441,圣保罗联邦大学,巴西,26.4,11.3,4.8,6.6,98.2
441,萨尔大学,德国,26.4,10.2,7.5,9,86.8
443,阿米尔卡比尔技术大学,伊朗伊斯兰共和国,26.3,5,23.4,99.6,4.9
443,南哈萨克斯坦国立大学,哈萨克斯坦,26.3,11.8,13.7,1,90.5
443,北京航空航天大学,中国大陆,26.3,13.1,4.4,67.8,31
443,伊利诺伊理工学院,美国,26.3,14.8,8.2,52.9,14.7
443,SOAS伦敦大学东方与非洲研究学院,英国,26.3,17.9,10.2,16.4,23.8
443,华盛顿州立大学,美国,26.3,25.5,24.4,36.2,15.3
449,茂物农业大学,印度尼西亚,26.2,19.6,28.5,1.7,60.7
449,哈瑟尔特大学,比利时,26.2,4.7,3.8,16.6,78.8
449,乌尔库拉大学,沙特阿拉伯,26.2,16.9,10.5,1.9,59.8
449,蒙得维的亚大学,乌拉圭,26.2,16.6,19.8,1.1,78.9
453,加州大学河滨分校,美国,26.1,17.8,8.5,61.8,8
454,斯泰伦博斯大学,南非,26,24.5,35.7,51.2,3.6
454,特罗姆瑟大学,挪威,26,12.4,3.9,9.3,73.2
456,约克大学,加拿大,25.9,22.6,31.3,28.2,6.1
457,国立科学院院校里昂,法国,25.7,7.5,31.7,32.3,37.8
457,西江大学,韩国,25.7,18.1,44.5,6.3,51.6
457,特伦托大学,意大利,25.7,24.6,9.4,46.6,18
460,佛罗伦萨大学,意大利,25.6,32.5,6.3,47.4,5.2
461,詹姆斯库克大学,澳大利亚,25.5,13.9,10.2,63.3,11.9
461,伦斯勒理工学院,美国,25.5,8.4,6.5,70.5,21
461,东南大学,中国大陆,25.5,11.1,6,68.7,29.5
